ID,LINE,MAIN_CONTRACT,ADDRESS,LOC,COMPILER_VERSION
2018-10299,257,BecToken,0xc5d105e63711398af9bbff092d4b6769c82f793d,299,v0.4.19+commit.c4cbbb05
2018-10706,250,Token,0xb75a5e36cc668bc8fe468e8f272cd4a0fd0fd773,404,v0.4.22-nightly.2018.3.16+commit.2b2527f3
2018-11239,81,Hexagon,0xB5335e24d0aB29C190AB8C2B459238Da1153cEBA,102,v0.4.18+commit.9cf6e910
2018-11335,188.190.191,GVToken,0x103c3a209da59d3e7c4a89307e66521e081cfdf0,245,v0.4.16+commit.d7661dd9
2018-11411,90,DimonCoin,0xf084d5bc3e35e3d903260267ebd545c49c6013d0,126,v0.4.16+commit.d7661dd9
2018-11429,137.139.140,ATL,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,165,v0.4.16+commit.d7661dd9
2018-11446,393,GRX,0x219218f117dc9348b358b8471c55a073e5e0da0b,432,v0.4.16+commit.d7661dd9
2018-11561,72.73,ERC20Token,0x00a0cbe98e4d110b0fa82646152d77babf2951d0,146,v0.4.18+commit.9cf6e910
2018-11687,41,BitcoinRed,0x6aac8cb9861e42bf8259f5abdc6ae3ae89909e11,99,v0.4.18+commit.9cf6e910
2018-12025,111,FuturXe,0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,161,v0.4.11+commit.68ef5810
2018-12062,165,SwftCoin,0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,171,v0.4.11+commit.68ef5810
2018-12067,165,MyAdvancedToken,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,171,v0.4.11+commit.68ef5810
2018-12068,165,MyAdvancedToken,0xac3da587eac229c9896d919abc235ca4fd7f72c1,171,v0.4.11+commit.68ef5810
2018-12230,111,RemiCoin,0x7Dc4f41294697a7903C4027f6Ac528C5d14cd7eB,161,v0.4.11+commit.68ef5810
2018-13041,187,LinkToken,0xE2E6D4BE086c6938B53B22144855eef674281639,190,v0.4.8+commit.60cc1668
2018-13068,83,AzurionToken,0x9A7069c319E0052e071fcB437c8AA3343555dadC,162,v0.4.16+commit.d7661dd9
2018-13069,209,DYC,0x824D83318d9637715a491B6CBb0244f55c0D5bAf,244,v0.4.19+commit.c4cbbb05
2018-13070,136,EncryptedToken,0x7D227Fe3C5885c3875180E03C548D09EBE1B0119,165,v0.4.24+commit.e67f0147
2018-13071,193,CCindexToken,0xAb3a93b317DeF7426C8345538690036cB92A11E6,227,v0.4.19-nightly.2017.11.11+commit.284c3839
2018-13072,135,Coffeecoin,0x9D5bd53fc23D6485A80B9879097E67a797365Ca5,164,v0.4.12+commit.194ff033
2018-13073,137,ETHEREUMBLACK,0xE2fA3d7B292c216390AbAd4c625d5f2524B85A1f,171,v0.4.17+commit.bdeb9e52
2018-13074,208,FIBToken,0x24A45d81170005Be4f51c8a294883b394BD83412,223,v0.4.24+commit.e67f0147
2018-13075,221,CarbonExchangeCoinToken,0x0Eb152d2bba8aF722D7E296A1F223d819C3bbB1f,271,v0.4.18+commit.9cf6e910
2018-13076,135,Betcash,0x4D391B4350cA1C690eBaf00d35bfcDd5721470F8,164,v0.4.12+commit.194ff033
2018-13077,159,CTB,0xb57E2EC276460a993393cA1bB2BdAe6c8170c73A,195,v0.4.13+commit.fb4cb1a
2018-13078,132,Jitech,0xF94d0b334b2CDEaAFCd7B2796B8743fb72dbFFF1,141,v0.4.20+commit.3155dd80
2018-13080,132,Goutex,0xb57bB80bc676Bc1134432860bd27A9D048ABe0B0,141,v0.4.20+commit.3155dd80
2018-13081,137,GZSToken,0xA1f87895550EAc6a8e9E4318466F482612a5986D,167,v0.4.11+commit.68ef5810
2018-13083,202,PlazaToken,0x332124F226e80c3AFdBb59271f550881b20604A1,215,v0.4.21+commit.dfe3193c
2018-13084,125,GoodTimeCoin,0x584a0EC8A7A3fcfEd27Db5C234A9062863883778,151,v0.4.21-nightly.2018.2.15+commit.f4aa05f3
2018-13085,256,FreeCoin,0xfdEA2AD97EC5297090c8d945f25a15f17f4C283d,291,v0.4.21+commit.dfe3193c
2018-13086,142,IADOWR,0xC1E2097d788d33701BA3Cc2773BF67155ec93FC4,171,v0.4.16+commit.d7661dd9
